Giai đoạn,Sprint/Tuần,TaskID,Task,Ưu tiên,Ước lượng,Dependency,Deliverable,DoD (check),Status,Ghi chú
GĐ0,(chưa xác định),T1,"Patient-level re-split 471 ảnh DICOM bằng GroupKFold theo bệnh nhân (không theo ảnh) để loại leakage phát hiện trong audit",Cao,,None,"Script re-split + file mapping patient_id -> split",,Not started,"Audit phiên trước: 100/216 bệnh nhân (46%) hiện có ảnh lọt nhiều hơn 1 split"
GĐ0,(chưa xác định),T2,"Hợp nhất 1 split canonical (từ T1) áp dụng lại cho cả 3 định dạng dữ liệu: detr_data, faster-rcnn-data, yolov7-data",Cao,,T1,"3 bộ Data/ dùng chung 1 split canonical",,Not started,"Hiện tại DETR dùng split khác hẳn Faster-RCNN/YOLOv7: chỉ 7/47 ảnh test trùng nhau"
GĐ0,(chưa xác định),T3,"Pseudonymize / loại bỏ cột name và năm sinh khỏi toàn bộ CSV trong Data/faster-rcnn-data/annotations",Cao,,None,"CSV đã pseudonymize, không còn PII plaintext",,Not started,"Vi phạm .agents/AGENTS.md mục bảo mật dữ liệu; có thể làm song song T1"
GĐ0,(chưa xác định),T4,"Trích xuất & ghi lại tường minh cấu hình huấn luyện hiện có của YOLOv7 (opt.yaml/hyp.scratch.p5.yaml) và DETR (argparse trong src/detr/main.py)",Cao,,None,"File cấu hình huấn luyện tường minh cho YOLOv7 và DETR",,Not started,"Checkpoint DETR dùng trong app.py không có file cấu hình gốc đi kèm"
GĐ0,(chưa xác định),T5,"Tái tạo cấu hình huấn luyện còn thiếu cho Faster-RCNN (hiện không có configs/ Hydra, không có train.py trong src/faster_rcnn/)",Cao,,None,"File cấu hình huấn luyện Faster-RCNN (epoch/batch/lr) hoặc ghi rõ unknown nếu không truy được",,Not started,"Checkpoint .ckpt hiện có không thể xác minh lại đã train bằng thông số gì"
GĐ0,(chưa xác định),T6,"Chốt 1 bộ control-variables dùng chung cho cả 3 kiến trúc: brightness level cố định, image size, augmentation, số epoch/round tương đương",Cao,,"T4, T5","File cấu hình control-variables dùng chung",,Not started,"Hiện mỗi model tự chọn brightness level khác nhau (frcnn=2, detr=4, yolov7=3 trong app.py)"
GĐ0,(chưa xác định),T7,"Đối chiếu lại baseline centralized (mAP@0.5/F1/Sen/Spec) trên split T2 + cấu hình T6 cho cả 3 kiến trúc",Cao,,"T2, T3, T6","Bảng baseline centralized mới, dùng làm mốc so sánh cho FL",,Not started,"Baseline cũ (D1-D5) không dùng được vì lẫn leakage + cấu hình không đồng nhất"
GĐ1,(chưa xác định),T8,"Tạo shared/ trong uet-thyroid-detection-main chứa code xử lý dữ liệu & train dùng lại được giữa 3 kiến trúc (kế thừa T1 cũ trong plan.csv trước)",Cao,,T7,"Thư mục shared/ với code data loading/training loop dùng chung",,Not started,"Cần xác nhận ranh giới: phần nào dùng chung vs đặc thù riêng từng model (câu hỏi treo cũ)"
GĐ1,(chưa xác định),T9,"Di chuyển code theo hướng nghiên cứu gốc không còn dùng cho FL vào thư mục tách riêng (kế thừa T2 cũ trong plan.csv trước)",Trung bình,,T8,"Thư mục code cũ được tách khỏi shared/",,Not started,"Cần xác nhận: hướng nào được xem là 'không dùng nữa' + tên thư mục đích cuối cùng"
GĐ1,(chưa xác định),T10,"Thiết kế partition N-client giả lập trên 471 ảnh (vd theo lô study_datetime, hoặc random có kiểm soát non-IID nhẹ)",Cao,,T7,"Script partition N-client + thống kê phân bố mỗi client",,Not started,"Ràng buộc bắt buộc: không cắt đôi cùng 1 bệnh nhân giữa 2 client"
GĐ1,(chưa xác định),T11,"Cài đặt FedAvg baseline cho cả 3 kiến trúc detection, dùng đúng bộ cấu hình đã chuẩn hoá ở T6",Cao,,"T8, T10","Kết quả FedAvg cho DETR/Faster-RCNN/YOLOv7 trên cùng metric với T7",,Not started,
GĐ1,(chưa xác định),T12,"Cài đặt FedProx, so sánh với FedAvg dưới điều kiện non-IID do partition T10 tạo ra",Trung bình,,T11,"Kết quả FedProx so với FedAvg",,Not started,"FedProx theo Ref.xlsx: xử lý statistical + system heterogeneity"
GĐ1,(chưa xác định),T13,"Đánh giá FL (FedAvg + FedProx) vs centralized (T7) trên cùng metric, viết báo cáo kết quả RQ1",Cao,,T12,"Báo cáo so sánh centralized vs FL, cập nhật proposal.md phần Kết quả",,Not started,
GĐ2,(chưa xác định),T14,"Điều tra domain shift thật giữa các viện (cần dữ liệu đa viện thật hoặc phương án mô phỏng domain shift được kiểm chứng hợp lệ)",Thấp,,T13,"Đánh giá tính khả thi + đề xuất phương pháp DA (FedBN/LC-Fed/FACMIC)",,Not started,"Chưa triển khai — chờ dữ liệu đa viện hoặc proxy hợp lệ, xem proposal.md mục 6"
